SampleSiteID,SampleSiteCode,SampleID,IGSN,Analysis_date_yymmdd,Site_Veg,AreaAllN2,AreaAllCO2,d15N,d13C,N_weight_percent,C_weight_percent
1,001-ER18,001-ER18-FO,IER18005A,190131,Meadow,99.797,176.567,1.29,-25.97,3.35,45.94
2,002-ER18,002-ER18-FO,IER18005B,190131,Meadow,142.579,186.595,1.48,-26.57,4.53,45.98
3,003-ER18,003-ER18-FO,IER18005C,190131,Meadow,98.98,178.206,2.85,-26.38,3.28,45.77
4,004-ER18,004-ER18-FO,IER18005D,190131,Meadow,122.352,183.501,2.24,-25.8,4.02,46.8
5,005-ER18,005-ER18-FO,IER18005E,190131,Meadow,136.859,190.57,4,-25.67,4.35,47.03
6,006-ER18,006-ER18-FO,IER18005F,190131,Meadow,154.179,179.789,0.23,-25.61,5.17,46.75
7,007-ER18,007-ER18-FO,IER18005G,190131,Meadow,123.079,184.711,1.11,-26.14,4,46.59
8,008-ER18,008-ER18-FO,IER18005H,190131,Meadow,145.846,193.541,1.57,-26.07,4.53,46.67
9,009-ER18,009-ER18-FO,IER18005I,190131,Meadow,119.449,187.748,2.42,-24.07,3.8,46.33
10,010-ER18,010-ER18-FO,IER18005J,190131,Meadow,92.772,175.497,2.82,-26.4,2.94,43.21
11,011-ER18,011-ER18-FO,IER18005K,190131,Meadow,85.814,195.418,3.27,-26.74,2.64,47.21
12,012-ER18,012-ER18-FO,IER18005L,190131,Meadow,112.856,191.057,1.53,-26.99,3.47,46.1
13,013-ER18,013-ER18-FO,IER18005M,190131,Meadow,95.167,172.126,1.98,-26.28,3.14,44.58
14,014-ER18,014-ER18-FO,IER18005N,190131,Meadow,81.835,199.971,2.6,-26.6,2.53,48.47
15,015-ER18,015-ER18-FO,IER18005O,190131,Meadow,130.107,188.806,1.24,-26.25,4.02,45.73
16,016-ER18,016-ER18-FO,IER18005P,190131,Meadow,108.009,183.148,1.36,-26.34,3.36,44.73
17,017-ER18,017-ER18-FO,IER18005Q,190131,Meadow,128.927,190.003,1.25,-25.62,4.06,46.88
18,018-ER18,018-ER18-FO,IER18005R,190131,Meadow,89.141,186.596,0.82,-26.2,2.81,46.06
19,019-ER18,019-ER18-FO,IER18005S,190131,Meadow,122.755,182.576,1.09,-26.46,3.92,45.75
20,020-ER18,020-ER18-FO,IER18002I,190131,Engelmann,25.39,189.832,NA,-24.2,0.79,46.54
21,021-ER18,021-ER18-FO,IER1800CN,190131,wolfii,111.864,182.472,1.69,-24.61,3.66,46.82
22,022-ER18,022-ER18-FO,IER18000W,190131,boothii,112.788,197.42,1.58,-24.95,3.62,49.68
23,023-ER18,023-ER18-FO,IER1800CO,190131,wolfii,86.887,178.78,1.2,-26.12,2.87,46.25
24,024-ER18,024-ER18-FO,IER18000X,190131,boothii,129.944,195.754,2.32,-25.19,4.08,48.15
25,025-ER18,025-ER18-FO,IER1800BF,190131,PenFlo,90.097,172.193,1.35,-25.01,2.81,42.06
26,026-ER18,026-ER18-FO,IER1800BT,190131,ArtTri,71.294,195.166,1.76,-25.48,2.2,47.13
27,027-ER18,027-ER18-FO,IER1800CP,190131,wolfii,99.446,192.321,0.59,-25.36,3.07,46.62
28,028-ER18,028-ER18-FO,IER18001Q,190131,brachy,132.148,182.292,1.72,-24.51,4.08,44.15
29,029-ER18,029-ER18-FO,IER1800CQ,190131,wolfii,97.411,188.067,2.77,-25.38,3.04,45.97
30,030-ER18,030-ER18-FO,IER1800BG,190131,PenFlo,76.357,167.992,1.19,-24.23,2.47,42.7
31,031-ER18,031-ER18-FO,IER18002J,190131,Engelmann,29.334,198.863,NA,-25.28,0.9,47.7
32,032-ER18,032-ER18-FO,IER18002K,190131,Engelmann,24.525,193.141,NA,-25.22,0.77,47.65
33,033-ER18,033-ER18-FO,IER180002,190131,Aspen,108.618,203.579,0.81,-24.35,3.47,51.02
34,034-ER18,034-ER18-FO,IER180003,190131,Aspen,91.89,193.389,2.07,-24.52,3.09,51.07
35,035-ER18,035-ER18-FO,IER18002L,190131,Engelmann,30.217,187.899,NA,-24.72,0.99,48.04
36,036-ER18,036-ER18-FO,IER18002M,190131,Engelmann,27.33,192.785,NA,-25.13,0.87,47.96
37,037-ER18,037-ER18-FO,IER180004,190131,Aspen,103.448,203.113,2.75,-25.12,3.26,50.13
38,038-ER18,038-ER18-FO,IER18002N,190131,Engelmann,26.8,199.663,NA,-24.62,0.82,47.98
39,039-ER18,039-ER18-FO,IER18002O,190131,Engelmann,28.757,194.646,NA,-26.08,0.94,49.96
40,040-ER18,040-ER18-FO,IER18002P,190131,Engelmann,32.463,190.624,NA,-25.64,1.06,48.76
41,041-ER18,041-ER18-FO,IER18002Q,190131,Engelmann,19.871,170.324,NA,-24.49,0.67,44.71
42,042-ER18,042-ER18-FO,IER180005,190131,Aspen,81.012,192.649,3.79,-24.55,2.53,47.18
43,043-ER18,043-ER18-FO,IER18004V,190204,Lodgepole,34.731,197.125,-0.81,-26.11,1.12,50.02
44,044-ER18,044-ER18-FO,IER18005T,190204,Meadow,109.095,184.004,3.98,-24.65,3.52,46.62
45,045-ER18,045-ER18-FO,IER18005U,190204,Meadow,74.386,175.844,1.42,-26.59,2.53,46.91
46,046-ER18,046-ER18-FO,IER18005V,190204,Meadow,122.349,186.76,3.73,-25.41,3.87,46.35
47,047-ER18,047-ER18-FO,IER18005W,190204,Meadow,94.836,178.214,1.92,-26.72,3.09,45.65
48,048-ER18,048-ER18-FO,IER18005X,190204,Meadow,106.326,177.481,1.25,-26.53,3.39,44.51
49,049-ER18,049-ER18-FO,IER18005Y,190204,Meadow,70.067,194.211,1.39,-26.19,2.22,48.25
50,050-ER18,050-ER18-FO,IER18005Z,190204,Meadow,64.948,198.705,1.13,-26.54,2.02,48.44
51,051-ER18,051-ER18-FO,IER180060,190204,Meadow,121.305,188.064,1.84,-26.13,3.77,45.87
52,052-ER18,052-ER18-FO,IER180061,190204,Meadow,85.364,175.156,1.44,-25.15,2.73,44.05
53,053-ER18,053-ER18-FO,IER180062,190204,Meadow,103.712,179.599,1.58,-26.78,3.34,45.39
54,054-ER18,054-ER18-FO,IER180063,190204,Meadow,118.893,171.888,2.91,-26.14,3.85,43.71
55,055-ER18,055-ER18-FO,IER18000Y,190204,boothii,108.845,192.12,3.44,-25.86,3.45,47.82
56,056-ER18,056-ER18-FO,IER18000Z,190204,boothii,100.211,194.455,0.13,-25.86,3.28,50.01
57,057-ER18,057-ER18-FO,IER1800AX,190204,planifolia,90.899,163.712,4.55,-25.05,2.94,41.59
58,058-ER18,058-ER18-FO,IER180010,190204,boothii,100.899,182.803,4.19,-27.04,3.19,45.46
59,059-ER18,059-ER18-FO,IER180023,190204,DisInv,94.834,192.082,3.05,-23.82,3.02,48.02
60,060-ER18,060-ER18-FO,IER1800BH,190204,PenFlo,75.31,167.114,2.09,-25.8,2.48,43.31
61,061-ER18,061-ER18-FO,IER1800BW,190204,Snowberry,113.899,187.296,2.29,-23.11,3.71,47.86
62,062-ER18,062-ER18-FO,IER180011,190204,boothii,92.163,189.187,4.22,-25.78,3.03,48.8
63,063-ER18,063-ER18-FO,IER1800BX,190204,Snowberry,78.897,192.774,2.16,-24.65,2.52,48.38
64,064-ER18,064-ER18-FO,IER1800BY,190204,Snowberry,89.534,197.773,1.23,-24.76,2.83,49.06
65,065-ER18,065-ER18-FO,IER180064,190204,Meadow,126.65,185.705,2.88,-24.88,4.05,46.61
