Sample Name,IGSN,Site Identifier,Sample Description,Material,Collection method description,Longitude,Latitude,Elevation Unit,Elevation start,Field name (informal classification),Location Description,Collection date,Navigation Type,EPSG,GeolocationInstrument,Site_Veg,Needles,CoverCode,Family,Genus,Species,Country:,State/Province:,County:,City:,Collector/Chief Scientist:,Current Archive:,Current Archive Contact Details:
001-ER18-FO,IER18005A,001-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.986098,38.957229,meters,2908.8,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
002-ER18-FO,IER18005B,002-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.9861,38.957288,meters,2908.8,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
003-ER18-FO,IER18005C,003-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.98616,38.957368,meters,2908.2,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
004-ER18-FO,IER18005D,004-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.986105,38.957477,meters,2908.3,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
005-ER18-FO,IER18005E,005-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.986231,38.957461,meters,2907.8,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,mesic meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
006-ER18-FO,IER18005F,006-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.984834,38.957868,meters,2915.4,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
007-ER18-FO,IER18005G,007-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.984753,38.957824,meters,2916.4,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
008-ER18-FO,IER18005H,008-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.984833,38.957823,meters,2915.7,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,mesic meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
009-ER18-FO,IER18005I,009-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.984502,38.957937,meters,2918.5,Meadow,RMBL Research Meadow,6/14/18,GPS,4326,RTK,mesic meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
010-ER18-FO,IER18005J,010-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.951893,38.921891,meters,2767.7,Meadow,Pumphouse,6/15/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
011-ER18-FO,IER18005K,011-ER18,"Foliar leaf samples,Foliar leaf samples from meadow plot",Biology,Collect entire stems where possible and place them in a gallon polyethylene bag with a damp paper towel to prevent rapid dehydration of leaves.,-106.952112,38.921874,meters,2769.4,Meadow,Pumphouse,6/15/18,GPS,4326,RTK,dry meadow,FALSE,NA,NA,NA,NA,USA,Colorado,Gunnison,Crested Butte,K. Dana Chadwick,Stanford University,"K. Dana Chadwick, kdc@stanford.edu"
