SamplingArea,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,OldCode,ImageFile
RM,DelBar,125.4875,2.35,0.5297,42.21137564,77.5,,RM_DelBar-LMA.jpg
RM,FesThu,46.7086,2.14,0.7117,152.3702273,66.7,,RM_FesThu-LMA.jpg
RM,FraSpe,294.4124,10.12,2.1515,73.07776439,78.7,,RM_FraSpe-LMA.jpg
RM,HelQui,153.8649,3.91,0.9062,58.89582354,76.8,,RM_HelQui-LMA.jpg
RM,DugHoo,124.995,4.91,1.0497,83.97935917,78.6,HymHoo,RM_DugHoo-LMA.jpg
RM,LatLan,57.3241,0.98,0.2736,47.72861676,72.1,,RM_LatLan-LMA.jpg
RM,LigPor,80.7882,1.32,0.3358,41.56547615,74.6,,RM_LigPor-LMA.jpg
RM,LupBak,98.2977,2.5,0.5308,53.99922887,78.8,,RM_LupBak-LMA.jpg
RM,ValOcc,61.0381,1.16,0.3071,50.31283739,73.5,,RM_ValOcc-LMA.jpg
RM,VerTen,236.0993,5.77,1.1943,50.58464807,79.3,VerCal,RM_VerTen-LMA.jpg
RM,PotPul,46.2303,0.87,0.3179,68.76442506,63.5,,RM_PotPul-LMA.jpg
PH,ArtTri,12.4283,0.32,0.1308,105.2436777,59.1,,PH_ArtTri-LMA.jpg
PH,BroIne,58.9527,1.14,0.3802,64.49238118,66.6,,PH_BroIne-LMA.jpg
PH,DelBar,158.2394,3.55,0.83,52.45217057,76.6,,PH_DelBar-LMA.jpg
PH,EriSpe,76.5111,1.4,0.3601,47.06506638,74.3,,PH_EriSpe-LMA.jpg
PH,FesThu,16.9114,0.58,0.2286,135.175089,60.6,,PH_FesThu-LMA.jpg
PH,FraSpe,253.8866,11.83,2.4921,98.15799652,78.9,,PH_FraSpe-LMA.jpg
PH,FraVir,102.1054,2.04,0.6597,64.60970722,67.7,FraVes,PH_FraVir-LMA.jpg
PH,HelQui,156.4829,7.33,1.5104,96.52172857,79.4,,PH_HelQui-LMA.jpg
PH,HerMax,298.3781,13.06,2.0086,67.31727295,84.6,,PH_HerMax-LMA.jpg
PH,IriMis,103.0642,5,1.4491,140.6016832,71,,PH_IriMis-LMA.jpg
PH,LigPor,76.2438,1,0.4451,58.37851734,55.5,,PH_LigPor-LMA.jpg
PH,LupBak,91.7987,4.19,0.9167,99.85980194,78.1,,PH_LupBak-LMA.jpg
PH,OsmOcc,93.1607,1.49,1.1776,126.4052331,21,,PH_OsmOcc-LMA.jpg
PH,PenFlo,14.7421,0.33,0.1394,94.6,57.8,PotFru,PH_PenFlo-LMA.jpg
PH,PotPul,109.2052,3,1.0115,92.62379447,66.3,,PH_PotPul-LMA.jpg
PH,ValOcc,40.8873,1.14,0.2378,58.15986871,79.1,,PH_ValOcc-LMA.jpg
PH,VerTen,277.8241,7.79,1.3345,48.03398985,82.9,VerCal,PH_VerTen-LMA.jpg
PH,WyeAmp,96.7533,3.15,0.7746,80.0592848,75.4,,PH_WyeAmp-LMA.jpg
SG,DelBar,140.6536,2.69,0.6182,43.95195004,77,,SG_DelBar-LMA.jpg
SG,EriSpe,77.6464,1.53,0.3817,49.15875044,75.1,,SG_EriSpe-LMA.jpg
SG,EucEng,149.8441,2.48,0.6406,42.75109931,74.2,,SG_EucEng-LMA.jpg
SG,FesThu,8.5413,0.16,0.0683,79.96440823,57.3,,SG_FesThu-LMA.jpg
SG,HelMul,39.3215,0.86,0.2165,55.05893722,74.8,,SG_HelMul-LMA.jpg
SG,HelQui,262.5863,10.49,1.8281,69.61901668,82.6,,SG_HelQui-LMA.jpg
SG,HerMax,177.8665,17.4,2.0086,112.9273922,88.5,,SG_HerMax-LMA.jpg
SG,HetVil,38.0346,0.78,0.1945,51.13764835,75.1,,SG_HetVil-LMA.jpg
SG,HydFen,282.5135,8.81,1.6066,56.86807887,81.8,,SG_HydFen-LMA.jpg
SG,LatLan,43.7392,0.74,0.1867,42.68482277,74.8,,SG_LatLan-LMA.jpg
SG,LigPor,122.4861,2.75,0.7181,58.62706054,73.9,,SG_LigPor-LMA.jpg
SG,OsmOcc,174.7687,6.51,1.1776,67.38048632,81.9,,SG_OsmOcc-LMA.jpg
SG,VerTen,197.1421,6.07,1.3345,67.69228896,78,VerCal,SG_VerTen-LMA.jpg
BD,DelBar,140.4488,3.9,0.8293,59.04642831,78.7,,BD_DelBar-LMA.jpg
BD,EriSpe,56.4303,1,0.229,40.58103537,77.1,,BD_EriSpe-LMA.jpg
T403,Fireweed,113.6815,2.48,0.6595,58.01295725,73.4,,T403_Fireweed-LMA.jpg
T403,FraSpe,162.377,4.38,1.046,64.41799023,76.1,,T403_FraSpe-LMA.jpg
T403,FraVir,102.1058,1.76,0.5357,52.46518807,69.6,,T403_FraVir-LMA.jpg
T403,HelMul,58.2949,1.37,0.344,59.01030793,74.9,,T403_HelMul-LMA.jpg
T403,HelQui,190.8226,6.75,1.2954,67.88504087,80.8,,T403_HelQui-LMA.jpg
BD,HerMax,117.9043,2.33,0.4037,34.23963333,82.7,,BD_HerMax-LMA.jpg
BD,HerMax,182.8127,3.59,0.7219,39.48850381,79.9,,BD_HerMax-LMA.jpg
BD,HerMax,229.3285,4.41,0.975,42.51543092,77.9,,BD_HerMax-LMA.jpg
BD,LatLan,99.8804,1.57,0.4271,42.76114233,72.8,,BD_LatLan-LMA.jpg
BD,LigPor,88.9987,1.85,0.4778,53.68617744,74.2,,BD_LigPor-LMA.jpg
T403,LinLew,7.7922,0.57,0.1616,207.3868741,71.6,,T403_LinLew-LMA.jpg
BD,PotPul,110.6233,2.63,0.838,75.75257654,68.1,,BD_PotPul-LMA.jpg
BD,PotPul,157.5608,4.91,1.2771,81.0544247,74,,BD_PotPul-LMA.jpg
BD,ThaFen,53.9978,0.76,0.2196,40.66832352,71.1,,BD_ThaFen-LMA.jpg
BD,VerTen,239.909,5.59,1.1885,49.5396171,78.7,VerCal,BD_VerTen-LMA.jpg
WGM,CarSpp,120.34,2.37,0.874,72.62755526,63.1,CarSp,WGM_CarSpp-LMA.jpg
WGM,DelBar,53.8546,5.1,1.2974,240.9079262,74.6,,WGM_DelBar-LMA.jpg
WGM,EriSpe,56.7008,1.14,0.3084,54.39076697,72.9,,WGM_EriSpe-LMA.jpg
WGM,FraSpe,388.4246,24.96,5.2654,135.5578406,78.9,,WGM_FraSpe-LMA_1.jpg
WGM,FraSpe,258.1778,10.18,2.0466,79.27095203,79.9,,WGM_FraSpe-LMA_2.jpg
WGM,HelQui,192.9946,7.55,1.7062,88.40661863,77.4,,WGM_HelQui-LMA.jpg
WGM,LatLan,78.1663,1.47,0.4224,54.03863302,71.3,,WGM_LatLan-LMA.jpg
WGM,LigPor,143.387,5.53,1.1146,77.73368576,79.8,,WGM_LigPor-LMA.jpg
WGM,OsmOcc,32.6786,1.45,0.629,192.480706,56.6,,WGM_OsmOcc-LMA.jpg
WGM,PotPul,154.9989,5.41,1.5784,101.8329808,70.8,,WGM_PotPul-LMA.jpg
WGM,PsyLep,231.3636,8.88,1.7775,76.82712406,80,CalLep,WGM_PsyLep-LMA.jpg
WGM,VerTen,338.1775,9.31,2.0603,60.92362739,77.9,VerCal,WGM_VerTen-LMA_1.jpg
WGM,VerTen,284.9577,8.07,1.9274,67.63810909,76.1,VerCal,WGM_VerTen-LMA_2.jpg
WGM,VerTen,192.0774,4.86,1.0958,57.04991842,77.5,VerCal,WGM_VerTen-LMA_3.jpg
WGM,WyeSpp,294.0939,15.55,3.0651,104.2218149,80.3,,WGM_WyeSpp-LMA_1.jpg
WGM,WyeSpp,265.7139,12.64,2.6636,100.2431563,78.9,,WGM_WyeSpp-LMA_2.jpg
UC,AgrSpp,102.6885,2.62,0.6994,68.10889243,73.3,"AgrSp, UnkC",UC_AgrSpp-LMA.jpg
UC,CarSpp,68.1786,4.53,0.8542,125.2885803,81.1,"CarSp, UnkE",UC_CarSpp-LMA.jpg
UC,DugHoo,146.0697,5.4,1.0867,74.39599041,79.9,HymHoo,UC_DugHoo-LMA.jpg
UC,EriSpe,51.7399,1.07,0.2634,50.90848649,75.4,,UC_EriSpe-LMA.jpg
UC,FesThu,27.3973,1.28,0.4701,171.5862512,63.3,,UC_FesThu-LMA.jpg
UC,FraVir,46.9179,0.93,0.2903,61.87403955,68.8,,UC_FraVir-LMA.jpg
UC,GalBor,24.8516,0.47,0.1113,44.7858488,76.3,GalBar,UC_GalBor-LMA.jpg
UC,HelMul,48.2552,1.1,0.2615,54.19105091,76.2,,UC_HelMul-LMA.jpg
UC,HelQui,251.8197,10.93,2.0731,82.32477443,81,,UC_HelQui-LMA.jpg
