SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
MtC,020-ER18,IER18002I,Engelmann,28.5332,2.08,1.1781,412.9,43.4,020-LMA.jpg
RM,021-ER18,IER1800CN,wolfii,82.9854,1.34,0.451,54.3,66.3,021-LMA.jpg
RM,022-ER18,IER18000W,boothii,86.2113,1.65,0.5506,63.9,66.6,022-LMA.jpg
RM,023-ER18,IER1800CO,wolfii,88.3083,1.62,0.6003,68,62.9,023-LMA.jpg
RM,024-ER18,IER18000X,boothii,91.0746,1.7,0.5739,63,66.2,024-LMA.jpg
RM,025-ER18,IER1800BF,PenFlo,33.0048,0.61,0.2444,74,59.9,025-LMA.jpg
RM,026-ER18,IER1800BT,ArtTri,18.7959,0.61,0.235,125,61.5,026-LMA.jpg
RM,027-ER18,IER1800CP,wolfii,58.9103,1.02,0.375,63.7,63.2,027-LMA.jpg
RM,028-ER18,IER18001Q,brachy,90.3769,1.81,0.5867,64.9,67.6,028-LMA.jpg
RM,029-ER18,IER1800CQ,wolfii,58.3876,1.02,0.3774,64.6,63,029-LMA.jpg
RM,030-ER18,IER1800BG,PenFlo,36.2078,0.73,0.306,84.5,58.1,030-LMA.jpg
RM,031-ER18,IER18002J,Engelmann,27.727,1.87,0.9865,355.8,47.2,031-LMA.jpg
RM,032-ER18,IER18002K,Engelmann,27.1732,2.07,1.1876,437,42.6,032-LMA.jpg
PH,033-ER18,IER180002,Aspen,287.8714,5.1,2.1012,73,58.8,033-LMA.jpg
PH,034-ER18,IER180003,Aspen,168.6711,3.36,1.3254,78.6,60.6,034-LMA.jpg
PH,035-ER18,IER18002L,Engelmann,31.3636,1.98,1.0626,338.8,46.3,035-LMA.jpg
PH,036-ER18,IER18002M,Engelmann,20.8256,1.43,0.7822,375.6,45.3,036-LMA.jpg
PH,037-ER18,IER180004,Aspen,176.1132,3.28,1.2595,71.5,61.6,037-LMA.jpg
PH,038-ER18,IER18002N,Engelmann,21.6997,1.75,0.901,415.2,48.5,038-LMA.jpg
PH,039-ER18,IER18002O,Engelmann,18.01,1.2,0.559,310.4,53.4,039-LMA.jpg
PH,040-ER18,IER18002P,Engelmann,34.6963,2.05,1.0776,310.6,47.4,040-LMA.jpg
PH,041-ER18,IER18002Q,Engelmann,28.3021,1.92,1.031,364.3,46.3,041-LMA.jpg
PH,042-ER18,IER180005,Aspen,291.1186,6.29,2.4164,83,61.6,042-LMA.jpg
SG,043-ER18,IER18004V,Lodgepole,43.9888,2.95,1.479,336.2,49.9,043-LMA.jpg
PH,055-ER18,IER18000Y,boothii,60.1491,1.24,0.4748,78.9,61.7,055-LMA.jpg
PH,056-ER18,IER18000Z,boothii,87.8283,1.68,0.7035,80.1,58.1,056-LMA.jpg
PH,057-ER18,IER1800AX,planifolia,97.1709,1.7,0.728,74.9,57.2,057-LMA.jpg
PH,058-ER18,IER180010,boothii,85.6992,1.5,0.5163,60.2,65.6,058-LMA.jpg
PH,059-ER18,IER180023,DisInv,228.7633,3.96,1.2254,53.6,69.1,059-LMA.jpg
PH,060-ER18,IER1800BH,PenFlo,14.7421,0.33,0.1394,94.6,57.8,060-LMA.jpg
