SamplingArea,Campaign,SampleSiteID,SampleSiteCode,Month,Day,Year,Longitude,Latitude,EPSG,GPS_source,Elevation_m,VegetationType,Site_Veg,Needles,FieldVegHeightMax_cm,FieldVegHeightMedian_cm,SoilMoisture_%_1,SoilMoisture_%_2,SoilMoisture_%_3,Foliar_IGSN
RM,ER18,1,001-ER18,6,14,2018,38.957229,-106.986098,4326,RTK,2908.8,Meadow,Meadow,FALSE,21,13,6,6,7,IER18005A
RM,ER18,2,002-ER18,6,14,2018,38.957288,-106.9861,4326,RTK,2908.8,Meadow,Meadow,FALSE,42,26,4,6,4,IER18005B
RM,ER18,3,003-ER18,6,14,2018,38.957368,-106.98616,4326,RTK,2908.2,Meadow,Meadow,FALSE,31,17,6,7,5,IER18005C
RM,ER18,4,004-ER18,6,14,2018,38.957477,-106.986105,4326,RTK,2908.3,Meadow,Meadow,FALSE,55,32,5,7,8,IER18005D
RM,ER18,5,005-ER18,6,14,2018,38.957461,-106.986231,4326,RTK,2907.8,Meadow,Meadow,FALSE,59,14,7,13,12,IER18005E
RM,ER18,6,006-ER18,6,14,2018,38.957868,-106.984834,4326,RTK,2915.4,Meadow,Meadow,FALSE,29,21,9,9,9,IER18005F
RM,ER18,7,007-ER18,6,14,2018,38.957824,-106.984753,4326,RTK,2916.4,Meadow,Meadow,FALSE,63,12,6,5,6,IER18005G
RM,ER18,8,008-ER18,6,14,2018,38.957823,-106.984833,4326,RTK,2915.7,Meadow,Meadow,FALSE,57,32,4,5,3,IER18005H
RM,ER18,9,009-ER18,6,14,2018,38.957937,-106.984502,4326,RTK,2918.5,Meadow,Meadow,FALSE,78,35,10,9,7,IER18005I
PH,ER18,10,010-ER18,6,15,2018,38.921891,-106.951893,4326,RTK,2767.7,Meadow,Meadow,FALSE,40,25,10,10,9,IER18005J
PH,ER18,11,011-ER18,6,15,2018,38.921874,-106.952112,4326,RTK,2769.4,Meadow,Meadow,FALSE,26,18,9,9,9,IER18005K
PH,ER18,12,012-ER18,6,15,2018,38.921828,-106.952197,4326,RTK,2770.8,Meadow,Meadow,FALSE,30,25,10,10,9,IER18005L
PH,ER18,13,013-ER18,6,15,2018,38.921662,-106.952406,4326,RTK,2775,Meadow,Meadow,FALSE,45,22,8,7,7,IER18005M
PH,ER18,14,014-ER18,6,15,2018,38.921775,-106.952646,4326,RTK,2776.8,Meadow,Meadow,FALSE,50,35,6,7,8,IER18005N
PH,ER18,15,015-ER18,6,15,2018,38.921582,-106.952623,4326,RTK,2779.5,Meadow,Meadow,FALSE,53,24,11,8,11,IER18005O
PH,ER18,16,016-ER18,6,15,2018,38.921584,-106.952762,4326,RTK,2782.1,Meadow,Meadow,FALSE,75,50,8,8,7,IER18005P
PH,ER18,17,017-ER18,6,15,2018,38.921531,-106.952667,4326,RTK,2781.1,Meadow,Meadow,FALSE,62,48,9,9,7,IER18005Q
PH,ER18,18,018-ER18,6,15,2018,38.921552,-106.95302,4326,RTK,2789.9,Meadow,Meadow,FALSE,50,35,6,8,9,IER18005R
PH,ER18,19,019-ER18,6,15,2018,38.92152,-106.952817,4326,RTK,2785.1,Meadow,Meadow,FALSE,74,49,11,11,10,IER18005S
MtC,ER18,20,020-ER18,6,27,2018,38.991241,-107.06585,4326,RTK,3456.8,Tree,Engelmann,TRUE,,,,,,IER18002I
RM,ER18,21,021-ER18,6,14,2018,38.95691,-106.987486,4326,RTK,2891.5,Shrub,wolfii,FALSE,101.2,,11,10,9,IER1800CN
RM,ER18,22,022-ER18,6,14,2018,38.956973,-106.987406,4326,RTK,2892.1,Shrub,boothii,FALSE,202.1,,19,16,16,IER18000W
RM,ER18,23,023-ER18,6,14,2018,38.957091,-106.986844,4326,RTK,2902.2,Shrub,wolfii,FALSE,96.8,,9,11,11,IER1800CO
RM,ER18,24,024-ER18,6,14,2018,38.957034,-106.986722,4326,RTK,2902.9,Shrub,boothii,FALSE,261.6,,19,16,14,IER18000X
RM,ER18,25,025-ER18,6,14,2018,38.956726,-106.986286,4326,RTK,2909.8,Shrub,PotFru,FALSE,79,,3,4,4,IER1800BF
RM,ER18,26,026-ER18,6,14,2018,38.956511,-106.986464,4326,RTK,2910.7,Shrub,Sage,FALSE,45,,5,4,3,IER1800BT
RM,ER18,27,027-ER18,6,14,2018,38.956822,-106.986191,4326,RTK,2908.4,Shrub,wolfii,FALSE,123,,11,13,10,IER1800CP
RM,ER18,28,028-ER18,6,14,2018,38.956765,-106.986114,4326,RTK,2910.2,Shrub,brachy,FALSE,283,,7,6,6,IER18001Q
RM,ER18,29,029-ER18,6,14,2018,38.956699,-106.985754,4326,RTK,2912.2,Shrub,wolfii,FALSE,87,,7,9,7,IER1800CQ
RM,ER18,30,030-ER18,6,14,2018,38.956705,-106.985928,4326,RTK,2912.6,Shrub,PotFru,FALSE,91,,4,3,4,IER1800BG
RM,ER18,31,031-ER18,6,14,2018,38.95712,-106.986154,4326,RTK,2908.5,Tree,Engelmann,TRUE,,,2,4,5,IER18002J
RM,ER18,32,032-ER18,6,14,2018,38.95769,-106.985601,4326,RTK,2910.7,Tree,Engelmann,TRUE,,,,,,IER18002K
PH,ER18,33,033-ER18,6,15,2018,38.92172,-106.95356,4326,RTK,2799.1,Tree,Aspen,FALSE,,,,,,IER180002
PH,ER18,34,034-ER18,6,15,2018,38.921865,-106.953758,4326,RTK,2796.9,Tree,Aspen,FALSE,,,,,,IER180003
PH,ER18,35,035-ER18,6,15,2018,38.920659,-106.951452,4326,RTK,2784.4,Tree,Engelmann,TRUE,,,,,,IER18002L
PH,ER18,36,036-ER18,6,15,2018,38.920605,-106.951466,4326,RTK,2786.8,Tree,Engelmann,TRUE,,,,,,IER18002M
PH,ER18,37,037-ER18,6,15,2018,38.920454,-106.951341,4326,RTK,2788.3,Tree,Aspen,FALSE,,,,,,IER180004
PH,ER18,38,038-ER18,6,15,2018,38.92037,-106.951345,4326,RTK,2792.3,Tree,Engelmann,TRUE,,,,,,IER18002N
PH,ER18,39,039-ER18,6,15,2018,38.920603,-106.951627,4326,RTK,2791,Tree,Engelmann,TRUE,,,,,,IER18002O
PH,ER18,40,040-ER18,6,15,2018,38.920632,-106.951536,4326,RTK,2787.6,Tree,Engelmann,TRUE,,,,,,IER18002P
PH,ER18,41,041-ER18,6,15,2018,38.919704,-106.951725,4326,RTK,2825.1,Tree,Engelmann,TRUE,,,,,,IER18002Q
PH,ER18,42,042-ER18,6,15,2018,38.919887,-106.951538,4326,RTK,2813.2,Tree,Aspen,FALSE,,,,,,IER180005
SG,ER18,43,043-ER18,6,16,2018,38.927272,-106.980458,4326,RTK,3171.9,Tree,Lodgepole,TRUE,,,,,,IER18004V
PH,ER18,44,044-ER18,6,15,2018,38.920993,-106.950929,4326,RTK,2773.3,Meadow,Meadow,FALSE,91,78,11,11,10,IER18005T
PH,ER18,45,045-ER18,6,15,2018,38.920918,-106.950805,4326,RTK,2774.3,Meadow,Meadow,FALSE,30,15,9,12,11,IER18005U
PH,ER18,46,046-ER18,6,15,2018,38.920866,-106.950966,4326,RTK,2775.6,Meadow,Meadow,FALSE,95,77,6,6,9,IER18005V
PH,ER18,47,047-ER18,6,15,2018,38.920941,-106.9508,4326,RTK,2773.6,Meadow,Meadow,FALSE,45,20,12,12,12,IER18005W
