CoverCode,Type,Family,Genus,Species,AltFieldCode,Notes
AcoRos,forb,Rosaceae,Acomastylis,rossii,GeuRos,*syn. = Geum rossii
AgaUrt,forb,Lamiaceae,Agastache,urticifolia,,
AgrSpp,gram,Poaceae,Agrostis,spp,,
Alder,broadleaf,Betulaceae,Alnus,incana,,
AneMul,forb,Ranunculaceae,Anemone,multifida,,
AneNar,forb,Ranunculaceae,Anemonastrum,narcissiflorum ssp. Zephyrum,,
AquCoe,forb,Heleboraceae,Aquilegia,coerulea var. coerulea,AgnCae,
ArnMol,forb,Asteraceae,Arnica,mollis,,
ArnPar,forb,Asteraceae,Arnica,parryi,,
ArtDra,forb,Asteraceae,Artemisia,dracunculus,,
ArtTri,shrub,Asteraceae,Artemisia,tridentata,Sage,
Aspen,broadleaf,Salicaceae,Populus,tremuloides,,
Bare,NA,NA,NA,NA,,Bare soil 
BisBis,forb,Polygonaceae,Bistorta,bistortoides,,
Bog Birch,shrub,Betulaceae,Betula,glandulosa,,orig. det. Betula pumila
boothii,willow,Salicaceae,Salix,boothii,,
brachy,willow,Salicaceae,Salix,brachycarpa,,
BroIne,gram,Poaceae,Bromopsis,inermis,,syn. = Bromus inermis
CalStr,gram,Poaceae,Calamagrostis,stricta,,
CarAqu,gram,Cyperaceae,Carex,aquatilis,,
CarHoo,gram,Cyperaceae,Carex,hoodii,,
CarLen,gram,Cyperaceae,Carex,lenticularis,,
CarMic,gram,Cyperaceae,Carex,microptera,,
CarSic,gram,Cyperaceae,Carex,siccata,,
CarSpp,gram,Cyperaceae,Carex,spp,,
CarUtr,gram,Cyperaceae,Carex,utriculata,,
CasRhe,forb,Scrophulariaceae,Castilleja,rhexiifolia,,
CasSul,forb,Scrophulariaceae,Castilleja,sulphurea,,
CleRho,forb,Crassulaceae,Clementsia,rhodantha,RhoRho,*syn. = Rhodiola rhodantha
CorCas,forb,Fumariaceae,Corydalis,caseana,,
DelBar,forb,Heleboraceae,Delphinium,barbeyi,,
DesCes,gram,Poaceae,Deschampsia,cespitosa,DesSpp,
DisInv,forb,Caprifoliaceae,Distegia,involucrata,,
drumm,willow,Salicaceae,Salix,drummondiana,,
DugHoo,forb,Asteraceae,Dugaldia,hoopesii,HymHoo,*syn. = Hymenoxys hoopseii
Elderberry,shrub,Caprifoliaceae,Sambucus,microbotrys,,
ElyLan,gram,Poaceae,Elymus,lanceolatus,,
ElySpp,gram,Poaceae,Elymus,spp,,
Engelmann,needle,Pinaceae,Picea,engelmannii,,
EriGla,forb,Asteraceae,Erigeron,glacialis,,
EriSpe,forb,Asteraceae,Erigeron,speciosus,,
EryGra,forb,Liliaceae,Erythronium,grandiflorum,,
EucEng,forb,Asteraceae,Eucephalus,engelmannii,,
FesIda,gram,Poaceae,Festuca,idahoensis,,
FesThu,gram,Poaceae,Festuca,thurberi,,
FestucaB,gram,Poaceae,Festuca,spp,,
Fireweed,forb,Onagraceae,Chamerion,danielsii,,syn. = Chamerion angustifolium
FraSpe,forb,Gentianaceae,Frasera,speciosa,,
FraVir,forb,Rosaceae,Fragaria,virgiana,,
GalBor,forb,Rubiaceae,Galium,boreale,,
GerRic,forb,Geraniaceae,Geranium,richardsonii,,
geyer,willow,Salicaceae,Salix,geyeriana,,
glauca,willow,Salicaceae,Salix,glauca,,
Gooseberry,shrub,Grossulariaceae,Ribes,montigenum,,
HelMul,forb,Asteraceae,Heliomeris,multiflora,,
HelQui,forb,Asteraceae,Helianthella,quinquenervis,,
HerMax,forb,Apiaceae,Heracleum,maximum,,
HetVil,forb,Asteraceae,Heterotheca,villosa,,
HydFen,forb,Hydrophyllaceae,Hydrophyllum,fendleri,,
IriMis,forb,Iridaceae,Iris,missouriensis,,
JunArc,forb,Juncaceae,Juncus,arcticus,,
Juniper,needle,Cupressaceae,Juniperus,communis,,
LatLan,forb,Fabaceae,Lathyrus,lanszwertii,,
LigPor,forb,Apiaceae,Ligusticum,porteri,,
LinLew,forb,Linaceae,Linum,lewisii,,
Litter,NA,NA,NA,NA,,Litter - non photosynthetic vegetation
Lodgepole,needle,Pinaceae,Pinus,contorta,,
LupArg,shrub,Fabaceae,Lupinus,argenteus,,
LupBak,shrub,Fabaceae,Lupinus,bakeri,,
MerCil,forb,Boraginaceae,Mertensia,ciliata,,
MerLan,forb,Boraginaceae,Mertensia,lanceolata,,
Moss,forb,NA,NA,NA,,Unknown moss species
OF,forb,NA,NA,NA,,Other Forb
OG,gram,NA,NA,NA,,Other Gramanoid 
OsmOcc,forb,Apiaceae,Osmorhiza,occidentalis,,
PedGro,forb,Scrophulariaceae,Pedicularis,groenlandica,,
PenFlo,shrub,Rosaceae,Pentaphylloides,floribunda,PotFru,"*syn. = Potentilla fruticosa, Dasiphora fruticosa"
planifolia,willow,Salicaceae,Salix,planifolia,,
PoaCom,gram,Poaceae,Poa,compressa,,
PoaLep,gram,Poaceae,Poa,leptocoma,,
PoaSec,gram,Poaceae,Poa,secunda,,
PotPul,forb,Rosaceae,Potentilla,pulcherrima,,
PseMon,forb,Apiaceae,Pseudocymopterus,montanus,,
PsyLep,forb,Heleboraceae,Psychrophila,leptosepala,CalLep,syn. = *Caltha leptosepala
PyrCro,forb,Asteraceae,Pyrrocoma,crocea,,
Raspberry,shrub,Rosaceae,Rubus,idaeus,,
TolInt,forb,Crassulaceae,Tolmachevia,integrifolia,"RhoRos, RhoInt",*syn. = Rhodiola integrifolia
RumDen,forb,Polygonaceae,Rumex,densiflorus,,
SenCra,forb,Asteraceae,Senecio,crassulus,,
SenSer,forb,Asteraceae,Senecio,serra,,
SenTri,forb,Asteraceae,Senecio,triangularis,,
SibPro,forb,Rosaceae,Sibbaldia,procumbens,,
Snowberry,shrub,Caprifoliaceae,Symphoricarpos,rotundifolius,,
SolSpp,forb,Asteraceae,Solidago,spp,,
SorSco,forb,Rosaceae,Sorbus,scopulina,,
SubFir,needle,Pinaceae,Abies,lasiocarpa,,
SymSpp,forb,Asteraceae,Symphyotrichum,spp,,
ThaFen,forb,Thalictraceae,Thalictrum,fendleri,,
VacCes,forb,Ericaceae,Vaccinium,cespitosum,VacCae,
ValEdu,forb,Valerianaceae,Valeriana,edulis,,
ValOcc,forb,Valerianaceae,Valeriana,occidentalis,,
VerTen,forb,Melanthiaceae,Veratrum,tenuipetalum,VerCal,*syn. = Veratrum californicum var. californicum
VicAme,forb,Fabaceae,Vicia,americana,,
Willow,willow,Salicaceae,Salix,spp,,
wolfii,willow,Salicaceae,Salix,wolfii,,
WyeAmp,forb,Asteraceae,Wyethia,amplexicaulis,,
WyeSpp,forb,Asteraceae,Wyethia,spp,,
